product_id,product_name,department,category,subcategory,product_type,description,features,color,material,size_range,price,rating,reviews_count,tags,brand,stock_status,keywords
CAGE8X8XZCGGXQ7Z,Nike Indigo Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Nike Indigo Combo Set online only for Rs. 400 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,400.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"nike indigo combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGE4BQXSBKGWBE3,Playboy London And New York Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Playboy London And New York Combo Set online only for Rs. 350 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,388.0,4.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"playboy london and new york combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGEAN78EYYZGPKP,Sanitt Spray and Toilet Seat Cover Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Sanitt Spray and Toilet Seat Cover Combo Set online only for Rs. 249 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,249.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"sanitt spray and toilet seat cover combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGDUGFYPRZUAJCM,"Anna Andre Paris Majesty, Red Horizon & Treasure Combo Set",Beauty and Personal Care,Fragrances,Deodorants,Combos,"Flipkart.com: Buy Anna Andre Paris Majesty, Red Horizon & Treasure Combo Set online only for Rs. 349 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",,,,,349.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"anna andre paris majesty, red horizon & treasure combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGEB9ZQYPWX2F9D,Ajmal Titanium and Expedition Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Ajmal Titanium and Expedition Combo Set online only for Rs. 400 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,400.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"ajmal titanium and expedition combo set, personal, deodorants, care, fragrances, combos, beauty, and"
NKCEA5FHAKKSQCK7,Galz4ever Blue Beaded Drop Chain Fashion Alloy Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Galz4ever Blue Beaded Drop Chain Fashion Alloy Necklace - Buy Galz4ever Blue Beaded Drop Chain Fashion Alloy Necklace only for Rs. 399 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,399.0,0.0,0,"jewellery, chains, necklaces",Galz4ever,In Stock,"galz4ever blue beaded drop chain fashion alloy necklace, jewellery, chains, necklaces"
NKCE9Q93E3ZCJRTZ,Hotpiper Designer Floral Design Cubic Zirconia Acrylic Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Hotpiper Designer Floral Design Cubic Zirconia Acrylic Necklace - Buy Hotpiper Designer Floral Design Cubic Zirconia Acrylic Necklace only for Rs. 350 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,350.0,0.0,0,"jewellery, chains, necklaces",Hotpiper,In Stock,"hotpiper designer floral design cubic zirconia acrylic necklace, jewellery, chains, necklaces"
CAGE6XN5WAJDSEHY,"Engage Drizzle , Blush Combo Set",Beauty and Personal Care,Fragrances,Deodorants,Combos,"Flipkart.com: Buy Engage Drizzle , Blush Combo Set online only for Rs. 340 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",,,,,350.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"engage drizzle , blush combo set, personal, deodorants, care, fragrances, combos, beauty, and"
CAGE5HYNWQYHCGQS,Playboy Berlin Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Playboy Berlin Combo Set online only for Rs. 349 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,355.0,1.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"playboy berlin combo set, personal, deodorants, care, fragrances, combos, beauty, and"
NKCEDCT9X6VHCF37,Jewelizer Statement Alloy Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,"Jewelizer Statement Alloy Necklace Price: Rs. 499 Charming and ready to wear with anything, this stylish necklace takes your look to a new level. Charming and ready to wear with anything, this stylish necklace takes your look to a new level.",,,,,499.0,0.0,0,"jewellery, chains, necklaces",Jewelizer,In Stock,"jewelizer statement alloy necklace, jewellery, chains, necklaces"
PBXEASGQ7FE23D8P,Karta Princess Girls With Compass & Lens Art Plastic Pencil Box,Pens & Stationery,School Supplies,"Geometry, Pen & Pencil boxes",Pencil Boxes,Flipkart.com: Buy Karta Princess Girls With Compass & Lens Art Plastic Pencil Box only for Rs. 205 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,205.0,0.0,0,"pencil, boxes, pen, school, geometry,, stationery, supplies, pens",Unknown,In Stock,"karta princess girls with compass & lens art plastic pencil box, pencil, boxes, pen, school, geometry,, stationery, supplies, pens"
